relationship_id,job_id,skill_id,importance,proficiency_required
JS0001,J001,S001,Essential,Intermediate
JS0002,J001,S002,Preferred,Advanced
JS0003,J001,S003,Essential,Advanced
JS0004,J001,S038,Essential,Intermediate
JS0005,J001,S056,Nice-to-have,Intermediate
JS0006,J001,S058,Essential,Intermediate
JS0007,J002,S001,Essential,Advanced
JS0008,J002,S002,Essential,Advanced
JS0009,J002,S003,Nice-to-have,Advanced
JS0010,J002,S038,Nice-to-have,Beginner
JS0011,J002,S056,Essential,Advanced
JS0012,J002,S058,Nice-to-have,Beginner
JS0013,J003,S001,Preferred,Advanced
JS0014,J003,S002,Essential,Beginner
JS0015,J003,S003,Essential,Intermediate
JS0016,J003,S038,Nice-to-have,Intermediate
JS0017,J003,S056,Preferred,Beginner
JS0018,J003,S058,Preferred,Intermediate
JS0019,J004,S003,Nice-to-have,Intermediate
JS0020,J004,S011,Nice-to-have,Intermediate
JS0021,J004,S004,Preferred,Beginner
JS0022,J004,S056,Essential,Intermediate
JS0023,J005,S001,Essential,Advanced
JS0024,J005,S014,Preferred,Intermediate
JS0025,J005,S016,Essential,Intermediate
JS0026,J005,S021,Nice-to-have,Beginner
JS0027,J005,S023,Nice-to-have,Beginner
JS0028,J006,S056,Essential,Beginner
JS0029,J006,S055,Preferred,Advanced
JS0030,J006,S058,Preferred,Intermediate
JS0031,J006,S057,Essential,Advanced
JS0032,J007,S056,Essential,Expert
JS0033,J007,S055,Nice-to-have,Beginner
JS0034,J007,S058,Essential,Beginner
JS0035,J007,S057,Essential,Advanced
JS0036,J008,S034,Essential,Beginner
JS0037,J008,S035,Nice-to-have,Beginner
JS0038,J008,S031,Essential,Advanced
JS0039,J008,S037,Preferred,Advanced
JS0040,J008,S086,Nice-to-have,Expert
JS0041,J009,S056,Nice-to-have,Advanced
JS0042,J009,S055,Preferred,Advanced
JS0043,J009,S058,Essential,Beginner
JS0044,J009,S057,Nice-to-have,Expert
JS0045,J010,S056,Preferred,Advanced
JS0046,J010,S055,Essential,Expert
JS0047,J010,S058,Essential,Intermediate
JS0048,J010,S057,Essential,Advanced
JS0049,J011,S001,Essential,Expert
JS0050,J011,S010,Essential,Expert
JS0051,J011,S041,Nice-to-have,Expert
JS0052,J011,S045,Preferred,Intermediate
JS0053,J011,S046,Essential,Beginner
JS0054,J012,S056,Preferred,Intermediate
JS0055,J012,S055,Preferred,Expert
JS0056,J012,S058,Essential,Expert
JS0057,J012,S057,Essential,Beginner
JS0058,J013,S056,Essential,Intermediate
JS0059,J013,S055,Preferred,Advanced
JS0060,J013,S058,Essential,Beginner
JS0061,J013,S057,Essential,Intermediate
JS0062,J014,S056,Preferred,Expert
JS0063,J014,S055,Essential,Intermediate
JS0064,J014,S058,Preferred,Beginner
JS0065,J014,S057,Essential,Intermediate
JS0066,J015,S056,Essential,Intermediate
JS0067,J015,S055,Essential,Expert
JS0068,J015,S058,Essential,Advanced
JS0069,J015,S057,Essential,Expert
JS0070,J016,S071,Essential,Beginner
JS0071,J016,S055,Nice-to-have,Advanced
JS0072,J017,S071,Essential,Beginner
JS0073,J017,S055,Nice-to-have,Beginner
JS0074,J018,S071,Nice-to-have,Expert
JS0075,J018,S055,Essential,Advanced
JS0076,J019,S071,Essential,Intermediate
JS0077,J019,S055,Preferred,Intermediate
JS0078,J020,S073,Essential,Advanced
JS0079,J020,S071,Essential,Intermediate
JS0080,J020,S077,Essential,Advanced
JS0081,J021,S061,Essential,Intermediate
JS0082,J021,S067,Preferred,Intermediate
JS0083,J021,S066,Essential,Beginner
JS0084,J021,S057,Nice-to-have,Advanced
JS0085,J022,S061,Essential,Expert
JS0086,J022,S067,Essential,Expert
JS0087,J022,S055,Nice-to-have,Advanced
JS0088,J023,S061,Essential,Intermediate
JS0089,J023,S067,Nice-to-have,Beginner
JS0090,J023,S055,Nice-to-have,Expert
JS0091,J024,S061,Nice-to-have,Intermediate
JS0092,J024,S067,Essential,Intermediate
JS0093,J024,S055,Nice-to-have,Beginner
JS0094,J025,S061,Essential,Advanced
JS0095,J025,S067,Essential,Advanced
