skill_id,skill_name,category,subcategory,description
S001,Python,Technical,Programming Languages,"High-level programming language for data science, web development, and automation"
S002,Java,Technical,Programming Languages,Object-oriented programming language for enterprise applications
S003,JavaScript,Technical,Programming Languages,Programming language for web development and interactive user interfaces
S004,TypeScript,Technical,Programming Languages,Statically typed superset of JavaScript for large-scale applications
S005,C++,Technical,Programming Languages,Systems programming language for performance-critical applications
S006,Go,Technical,Programming Languages,Modern programming language for cloud and distributed systems
S007,Rust,Technical,Programming Languages,Systems programming language focused on safety and performance
S008,Swift,Technical,Programming Languages,Programming language for iOS and macOS app development
S009,Kotlin,Technical,Programming Languages,Modern programming language for Android and JVM applications
S010,R,Technical,Programming Languages,Statistical programming language for data analysis and visualization
S011,React,Technical,Frontend Frameworks,JavaScript library for building user interfaces
S012,Angular,Technical,Frontend Frameworks,TypeScript-based framework for building web applications
S013,Vue.js,Technical,Frontend Frameworks,Progressive JavaScript framework for building user interfaces
S014,Node.js,Technical,Backend Technologies,JavaScript runtime for building server-side applications
S015,Express.js,Technical,Backend Frameworks,Minimal web framework for Node.js applications
S016,Django,Technical,Backend Frameworks,High-level Python web framework for rapid development
S017,Flask,Technical,Backend Frameworks,Lightweight Python web framework for building APIs
S018,Spring Boot,Technical,Backend Frameworks,Java framework for building microservices and web applications
S019,Laravel,Technical,Backend Frameworks,PHP web framework with elegant syntax and rich features
S020,Ruby on Rails,Technical,Backend Frameworks,Web application framework for Ruby programming language
S021,MySQL,Technical,Databases,Popular open-source relational database management system
S022,PostgreSQL,Technical,Databases,Advanced open-source relational database with modern features
S023,MongoDB,Technical,Databases,Document-oriented NoSQL database for flexible data storage
S024,Redis,Technical,Databases,In-memory data store for caching and real-time applications
S025,Oracle Database,Technical,Databases,Enterprise-grade relational database management system
S026,Elasticsearch,Technical,Search Engines,Distributed search and analytics engine for large-scale data
S027,Cassandra,Technical,Databases,Distributed NoSQL database for handling large amounts of data
S028,DynamoDB,Technical,Databases,Amazon's fully managed NoSQL database service
S029,Neo4j,Technical,Graph Databases,Graph database for managing connected data relationships
S030,SQL,Technical,Query Languages,Standard language for managing relational databases
S031,Amazon Web Services,Technical,Cloud Platforms,Comprehensive cloud computing platform by Amazon
S032,Microsoft Azure,Technical,Cloud Platforms,Cloud computing service by Microsoft
S033,Google Cloud Platform,Technical,Cloud Platforms,Cloud computing services by Google
S034,Docker,Technical,Containerization,Platform for developing and deploying containerized applications
S035,Kubernetes,Technical,Container Orchestration,System for automating deployment and management of containerized applications
S036,Terraform,Technical,Infrastructure as Code,Tool for building and managing infrastructure through code
S037,Jenkins,Technical,CI/CD,Automation server for continuous integration and deployment
S038,Git,Technical,Version Control,Distributed version control system for tracking code changes
S039,GitHub,Technical,Code Repository,Web-based platform for version control and collaboration
S040,GitLab,Technical,DevOps Platform,Complete DevOps platform for software development lifecycle
S041,Machine Learning,Technical,Artificial Intelligence,Techniques for building systems that learn from data
S042,Deep Learning,Technical,Artificial Intelligence,Neural network-based machine learning techniques
