name,description,salary,minimum_qualification,role_id
Software Engineer,"Develops, tests, and maintains software applications and systems using programming languages and frameworks. Works on full software development lifecycle from requirements to deployment.",6-25 LPA,BTech Computer Science or equivalent,1
Data Scientist,"Analyzes complex datasets to extract business insights and build predictive models. Uses statistical methods, machine learning, and data visualization techniques.",8-30 LPA,BTech/MTech in Computer Science or Statistics,2
AI/ML Engineer,"Designs and implements artificial intelligence and machine learning solutions. Develops neural networks, deep learning models, and automated systems.",12-35 LPA,MTech in AI/ML or BTech with specialization,3
Cloud Architect,"Designs and manages cloud computing infrastructure and services. Oversees cloud migration strategies and ensures scalable, secure cloud solutions.",15-40 LPA,BTech Computer Science with cloud certifications,4
Cybersecurity Specialist,"Protects organizational systems and data from cyber threats and vulnerabilities. Implements security protocols, monitors network security, and responds to incidents.",8-25 LPA,BTech in Computer Science or Cybersecurity,5
DevOps Engineer,"Bridges development and operations teams to streamline software deployment processes. Manages CI/CD pipelines, infrastructure automation, and system monitoring.",8-22 LPA,BTech Computer Science or equivalent,6
Full Stack Developer,"Develops both frontend and backend components of web applications. Works with multiple programming languages, databases, and frameworks.",6-20 LPA,BTech/BCA or equivalent with programming skills,7
Mobile App Developer,"Creates applications for mobile devices using native or cross-platform technologies. Focuses on user experience, performance optimization, and app store deployment.",5-18 LPA,BTech/BCA with mobile development skills,8
UI/UX Designer,"Designs user interfaces and experiences for digital products. Conducts user research, creates wireframes, prototypes, and ensures intuitive design solutions.",4-15 LPA,Bachelor's in Design or equivalent portfolio,9
Database Administrator,"Manages and maintains database systems to ensure data integrity, security, and performance. Handles backup, recovery, and optimization of database operations.",6-18 LPA,BTech Computer Science with database expertise,10
Doctor,"Diagnoses and treats illnesses, injuries, and medical conditions. Provides comprehensive healthcare services, performs medical procedures, and develops treatment plans for patients.",10-50 LPA,MBBS degree,11
Surgeon,"Performs surgical procedures to treat diseases, injuries, and deformities. Specializes in various surgical techniques and post-operative patient care.",15-60 LPA,MBBS with MS specialization,12
Pharmacist,"Dispenses medications, provides drug information, and ensures safe pharmaceutical care. Manages pharmacy operations and counsels patients on medication usage.",4-12 LPA,Bachelor of Pharmacy (B.Pharm),13
Nurse,"Provides direct patient care, monitors patient conditions, and assists in medical procedures. Implements nursing care plans and health education programs.",3-8 LPA,Bachelor of Science in Nursing (B.Sc Nursing),14
Medical Laboratory Technician,Conducts laboratory tests and analyses to aid in disease diagnosis and treatment. Operates medical equipment and maintains laboratory quality standards.,3-7 LPA,Bachelor's in Medical Laboratory Technology,15
Physiotherapist,"Provides rehabilitation services to patients with physical disabilities, injuries, or chronic conditions. Develops and implements therapeutic exercise programs.",4-10 LPA,Bachelor of Physiotherapy (BPT),16
Clinical Research Associate,Monitors clinical trials and ensures compliance with research protocols and regulatory standards. Manages study documentation and data integrity.,6-15 LPA,Life Sciences degree with clinical research training,17
Medical Representative,"Promotes pharmaceutical products to healthcare professionals and institutions. Provides product information, builds relationships, and achieves sales targets.",4-12 LPA,Bachelor's in Life Sciences or Pharmacy,18
Hospital Administrator,"Manages healthcare facility operations, coordinates departments, and ensures efficient patient care delivery. Oversees budgets, policies, and staff management.",8-20 LPA,MBA in Hospital Management or equivalent,19
Biomedical Engineer,Designs and maintains medical equipment and devices. Applies engineering principles to healthcare technology and ensures equipment safety and functionality.,6-18 LPA,BTech in Biomedical Engineering,20
Bank Manager,"Oversees branch operations, manages customer relationships, and ensures compliance with banking regulations. Coordinates staff activities and achieves business targets.",8-25 LPA,MBA Finance or equivalent banking degree,21
Investment Banker,"Provides financial advisory services for mergers, acquisitions, and capital raising activities. Analyzes market trends and structures complex financial transactions.",15-50 LPA,MBA Finance or CA with investment banking experience,22
Financial Analyst,"Analyzes financial data, market trends, and investment opportunities to provide recommendations. Prepares financial reports and forecasts for decision-making.",6-18 LPA,Bachelor's in Finance or Economics,23
Chartered Accountant,"Provides auditing, taxation, and financial advisory services to organizations. Ensures compliance with accounting standards and financial regulations.",8-30 LPA,CA qualification from ICAI,24
Credit Analyst,Evaluates creditworthiness of individuals and businesses for loan applications. Assesses financial risks and recommends credit decisions based on analysis.,5-15 LPA,Bachelor's in Finance or Accounting,25
Risk Manager,"Identifies, analyzes, and mitigates financial risks across banking operations. Develops risk management strategies and ensures regulatory compliance.",10-28 LPA,MBA in Finance with risk management certification,26
Loan Officer,"Processes loan applications, evaluates borrower qualifications, and manages loan portfolios. Maintains customer relationships throughout the lending process.",4-12 LPA,Bachelor's degree in Finance or related field,27
Treasury Manager,"Manages organization's cash flow, investments, and financial planning. Optimizes liquidity, manages financial instruments, and ensures funding requirements.",12-30 LPA,MBA Finance with treasury management experience,28
Compliance Officer,Ensures banking operations comply with regulatory requirements and internal policies. Monitors transactions for suspicious activities and manages compliance programs.,8-20 LPA,Law degree or Finance with compliance certification,29
Insurance Agent,"Sells insurance policies, provides customer service, and processes insurance claims. Educates clients about insurance products and maintains policy records.",3-10 LPA,Bachelor's degree with insurance licensing,30
Mechanical Engineer,"Designs, develops, and manufactures mechanical systems, machines, and components. Applies engineering principles to solve technical problems and optimize production processes.",5-18 LPA,BTech Mechanical Engineering,31
Production Manager,"Oversees manufacturing operations, manages production schedules, and ensures quality standards. Coordinates resources, equipment, and personnel for efficient production.",8-25 LPA,BTech with production management experience,32
Quality Control Engineer,"Monitors product quality, implements quality assurance processes, and conducts testing procedures. Ensures products meet specifications and industry standards.",4-15 LPA,BTech in Engineering with quality certification,33
Industrial Engineer,"Optimizes manufacturing processes, improves efficiency, and reduces waste through systematic analysis. Designs workflows and implements lean manufacturing principles.",6-18 LPA,BTech Industrial Engineering,34
Electrical Engineer,"Designs and maintains electrical systems, power distribution, and control mechanisms in manufacturing facilities. Ensures electrical safety and efficiency.",5-20 LPA,BTech Electrical Engineering,35
Plant Manager,"Manages overall manufacturing plant operations, coordinates departments, and ensures production targets. Oversees safety, quality, and cost optimization initiatives.",15-40 LPA,BTech with MBA or extensive manufacturing experience,36
Maintenance Engineer,"Maintains and repairs manufacturing equipment, implements preventive maintenance programs, and ensures minimal downtime. Troubleshoots technical issues and optimizes equipment performance.",5-15 LPA,BTech in Mechanical or Electrical Engineering,37
Design Engineer,"Creates technical drawings, product designs, and engineering specifications using CAD software. Develops innovative solutions and ensures design feasibility.",6-18 LPA,BTech with design specialization,38
Safety Officer,"Implements workplace safety protocols, conducts safety audits, and ensures compliance with occupational health standards. Manages emergency response procedures.",4-12 LPA,Engineering degree with safety certification,39
Supply Chain Manager,"Manages procurement, inventory, and logistics operations to optimize supply chain efficiency. Coordinates with vendors, manages costs, and ensures timely delivery.",10-28 LPA,MBA in Supply Chain or equivalent experience,40
Teacher,"Educates students in academic subjects, develops lesson plans, and assesses student progress. Creates engaging learning environments and implements curriculum standards.",3-12 LPA,Bachelor's in subject area with B.Ed,41
Professor,"Teaches at university level, conducts research, and publishes academic work. Mentors graduate students and contributes to academic knowledge in specialized fields.",8-25 LPA,PhD in relevant discipline,42
Principal,"Leads educational institutions, manages faculty, and oversees academic programs. Ensures quality education delivery and institutional development.",10-30 LPA,Master's degree with administrative experience,43
Training Manager,"Designs and implements employee training programs, assesses training needs, and evaluates program effectiveness. Manages corporate learning and development initiatives.",8-20 LPA,MBA in HR or Training and Development,44
Curriculum Developer,"Creates educational content, designs learning materials, and develops instructional strategies. Ensures curriculum alignment with educational objectives and standards.",6-15 LPA,Master's in Education or subject expertise,45
Educational Counselor,"Provides academic and career guidance to students, assists with educational planning, and addresses learning challenges. Supports student development and success.",4-12 LPA,Master's in Psychology or Counseling,46
Instructional Designer,"Develops educational materials, designs online courses, and creates interactive learning experiences using technology and pedagogical principles.",6-18 LPA,Master's in Educational Technology or Design,47
Academic Administrator,"Manages academic operations, coordinates with faculty and students, and ensures compliance with educational regulations. Oversees admissions and academic policies.",7-18 LPA,Master's degree with administrative experience,48
Research Scholar,"Conducts independent research, analyzes data, and contributes to academic knowledge. Pursues doctoral studies and publishes research findings.",3-8 LPA,Master's degree with research aptitude,49
Online Tutor,"Provides personalized instruction through digital platforms, creates engaging online content, and supports remote learning. Adapts teaching methods for virtual environments.",2-10 LPA,Bachelor's degree with subject expertise,50
Agricultural Engineer,"Designs agricultural machinery, irrigation systems, and food processing equipment. Applies engineering principles to improve farming efficiency and crop production.",5-15 LPA,BTech Agricultural Engineering,51
Food Technologist,"Develops food products, ensures food safety, and optimizes processing methods. Conducts quality control testing and implements food preservation techniques.",4-12 LPA,BTech Food Technology,52
Agronomist,"Studies crop production, soil management, and plant breeding techniques. Provides expertise on sustainable farming practices and crop optimization strategies.",4-12 LPA,Master's in Agronomy or Agriculture,53
Farm Manager,"Oversees agricultural operations, manages farm resources, and coordinates farming activities. Plans crop production and ensures optimal farm productivity.",6-18 LPA,Bachelor's in Agriculture with management experience,54
Agricultural Extension Officer,"Educates farmers about modern farming techniques, government schemes, and agricultural innovations. Provides technical assistance and training to rural communities.",3-8 LPA,Bachelor's in Agriculture,55
Quality Control Manager,Ensures food products meet safety and quality standards throughout processing and packaging. Implements quality assurance programs and regulatory compliance.,8-20 LPA,Master's in Food Technology with quality experience,56
Agricultural Marketing Specialist,"Develops marketing strategies for agricultural products, analyzes market trends, and manages supply chain operations. Connects farmers with buyers and markets.",5-15 LPA,MBA Agribusiness or Marketing,57
Soil Scientist,"Studies soil properties, fertility, and conservation methods. Provides recommendations for soil management and sustainable agricultural practices.",4-12 LPA,Master's in Soil Science,58
Plant Pathologist,"Diagnoses plant diseases, develops treatment strategies, and researches plant health management. Provides expertise on crop disease prevention and control.",5-15 LPA,Master's/PhD in Plant Pathology,59
Agricultural Finance Officer,"Manages agricultural loans, assesses credit risks, and provides financial services to farmers. Evaluates agricultural projects and implements financial schemes.",6-16 LPA,MBA Finance with agricultural sector experience,60
IAS Officer,"Administrative service officer responsible for policy implementation, district administration, and public service delivery. Manages government programs and ensures governance efficiency.",15-50 LPA,Bachelor's degree for UPSC CSE,61
IPS Officer,"Police service officer maintaining law and order, investigating crimes, and ensuring public safety. Manages police operations and implements security measures.",15-45 LPA,Bachelor's degree for UPSC CSE,62
Bank Probationary Officer,"Entry-level management position in public sector banks handling customer relations, loan processing, and banking operations. Undergoes comprehensive training program.",8-15 LPA,Bachelor's degree for IBPS PO exam,63
SSC Multi Tasking Staff,"Support staff for government offices handling clerical work, data entry, and administrative assistance. Provides essential services across various departments.",2-4 LPA,10th pass for SSC MTS exam,64
Railway Station Master,"Manages railway station operations, train schedules, and passenger services. Ensures safety protocols and coordinates with train operations staff.",6-12 LPA,Bachelor's degree for Railway NTPC,65
