role,skill,relationship_type
Software Engineer,Python Programming,REQUIRES
Software Engineer,Java Programming,REQUIRES
Software Engineer,JavaScript,REQUIRES
Software Engineer,Git,REQUIRES
Software Engineer,SQL,REQUIRES
Data Scientist,Python Programming,REQUIRES
Data Scientist,Machine Learning,REQUIRES
Data Scientist,Statistical Analysis,REQUIRES
Data Scientist,SQL,REQUIRES
Data Scientist,Data Analysis,REQUIRES
AI/ML Engineer,Machine Learning,REQUIRES
AI/ML Engineer,Deep Learning,REQUIRES
AI/ML Engineer,Python Programming,REQUIRES
AI/ML Engineer,Statistical Analysis,REQUIRES
Cloud Architect,Cloud Computing,REQUIRES
Cloud Architect,Docker,REQUIRES
Cloud Architect,Kubernetes,REQUIRES
Cloud Architect,Python Programming,REQUIRES
Cybersecurity Specialist,Network Security,REQUIRES
Cybersecurity Specialist,Risk Assessment,REQUIRES
Cybersecurity Specialist,Ethical Conduct,REQUIRES
DevOps Engineer,Docker,REQUIRES
DevOps Engineer,Kubernetes,REQUIRES
DevOps Engineer,Git,REQUIRES
DevOps Engineer,Cloud Computing,REQUIRES
Full Stack Developer,JavaScript,REQUIRES
Full Stack Developer,React.js,REQUIRES
Full Stack Developer,Node.js,REQUIRES
Full Stack Developer,SQL,REQUIRES
Full Stack Developer,Git,REQUIRES
Mobile App Developer,Java Programming,REQUIRES
Mobile App Developer,JavaScript,REQUIRES
Mobile App Developer,React.js,REQUIRES
UI/UX Designer,Graphic Design,REQUIRES
UI/UX Designer,Creative Writing,REQUIRES
UI/UX Designer,Adobe Creative Suite,REQUIRES
Database Administrator,SQL,REQUIRES
Database Administrator,Data Analysis,REQUIRES
Database Administrator,System Administration,REQUIRES
Doctor,Medical Diagnosis,REQUIRES
Doctor,Patient Care,REQUIRES
Doctor,Medical Documentation,REQUIRES
Doctor,Healthcare Ethics,REQUIRES
Surgeon,Medical Diagnosis,REQUIRES
Surgeon,Patient Care,REQUIRES
Surgeon,Emergency Response,REQUIRES
Surgeon,Healthcare Ethics,REQUIRES
Pharmacist,Pharmacology,REQUIRES
Pharmacist,Patient Care,REQUIRES
Pharmacist,Medical Documentation,REQUIRES
Nurse,Patient Care,REQUIRES
Nurse,Medical Equipment Operation,REQUIRES
Nurse,Emergency Response,REQUIRES
Nurse,Healthcare Ethics,REQUIRES
Medical Laboratory Technician,Laboratory Analysis,REQUIRES
Medical Laboratory Technician,Medical Equipment Operation,REQUIRES
Medical Laboratory Technician,Medical Documentation,REQUIRES
Physiotherapist,Patient Care,REQUIRES
Physiotherapist,Medical Equipment Operation,REQUIRES
Physiotherapist,Healthcare Ethics,REQUIRES
Clinical Research Associate,Clinical Research,REQUIRES
Clinical Research Associate,Medical Documentation,REQUIRES
Clinical Research Associate,Data Analysis,REQUIRES
Medical Representative,Communication Skills,REQUIRES
Medical Representative,Customer Service,REQUIRES
Medical Representative,Sales Techniques,REQUIRES
Hospital Administrator,Project Management,REQUIRES
Hospital Administrator,Leadership,REQUIRES
Hospital Administrator,Healthcare Ethics,REQUIRES
Biomedical Engineer,Medical Equipment Operation,REQUIRES
Biomedical Engineer,Technical Analysis,REQUIRES
Biomedical Engineer,Project Management,REQUIRES
