name,description,course_id
Bachelor of Technology - Computer Science,"Comprehensive undergraduate program covering programming fundamentals, data structures, algorithms, software engineering, and computer systems architecture.",1
Master of Computer Applications,"Postgraduate program focusing on advanced programming concepts, software development methodologies, database management, and emerging technologies.",2
Bachelor of Computer Applications,"Undergraduate degree emphasizing practical computer applications, programming languages, web development, and software project management.",3
MTech in Artificial Intelligence,"Specialized postgraduate program in AI technologies, machine learning algorithms, neural networks, natural language processing, and computer vision.",4
Data Science Certification,"Professional certification covering statistical analysis, machine learning, data visualization, big data technologies, and predictive modeling techniques.",5
AWS Solutions Architect Certification,Industry-recognized certification for designing and deploying scalable systems on Amazon Web Services cloud platform infrastructure.,6
Google Cloud Professional Certification,"Professional certification demonstrating expertise in Google Cloud technologies, including compute, storage, networking, and machine learning services.",7
Cybersecurity Certification,"Comprehensive program covering network security, ethical hacking, incident response, risk assessment, and information security management.",8
Full Stack Web Development Course,"Intensive program covering frontend technologies, backend frameworks, databases, version control, and complete web application development.",9
Mobile App Development Course,Specialized training in native and cross-platform mobile application development using modern frameworks and development tools.,10
Bachelor of Medicine and Bachelor of Surgery (MBBS),"Comprehensive medical degree covering human anatomy, physiology, pathology, pharmacology, and clinical medicine with extensive practical training.",11
Bachelor of Pharmacy (B.Pharm),"Undergraduate program focusing on pharmaceutical sciences, drug formulation, pharmacology, medicinal chemistry, and pharmacy practice.",12
Bachelor of Science in Nursing (B.Sc Nursing),"Professional degree program covering nursing fundamentals, patient care, medical-surgical nursing, community health, and healthcare management.",13
Bachelor of Physiotherapy (BPT),"Specialized program in rehabilitation sciences covering anatomy, biomechanics, therapeutic exercises, and physical therapy techniques.",14
Master of Surgery (MS),"Postgraduate medical degree providing advanced surgical training in various specialties including general surgery, orthopedics, and ophthalmology.",15
Doctor of Medicine (MD),"Postgraduate medical degree offering specialization in internal medicine, pediatrics, psychiatry, and other medical disciplines.",16
Bachelor of Ayurveda Medicine and Surgery (BAMS),Traditional medicine degree combining ancient Ayurvedic principles with modern medical knowledge for holistic healthcare practice.,17
Bachelor of Homeopathic Medicine and Surgery (BHMS),"Alternative medicine degree focusing on homeopathic principles, case taking, repertory, and natural healing methods.",18
Master of Public Health (MPH),"Multidisciplinary program covering epidemiology, biostatistics, health policy, environmental health, and community health management.",19
Clinical Research Certification,"Professional program covering clinical trial protocols, regulatory affairs, pharmacovigilance, and good clinical practice standards.",20
Master of Business Administration - Finance,"Comprehensive postgraduate program covering financial management, investment analysis, corporate finance, international finance, and strategic financial planning.",21
Chartered Accountancy,"Professional qualification in accounting, auditing, taxation, and financial management governed by Institute of Chartered Accountants of India.",22
Bachelor of Commerce,"Undergraduate degree covering accounting principles, business economics, corporate law, taxation, and financial management fundamentals.",23
Certified Financial Planner (CFP),"Professional certification focusing on comprehensive financial planning, investment strategies, retirement planning, and wealth management techniques.",24
Company Secretary (CS),"Professional course covering corporate governance, company law, securities regulation, and compliance management for corporate entities.",25
Cost and Management Accountant (CMA),"Professional qualification specializing in cost accounting, management accounting, financial planning, and strategic cost management.",26
Banking and Insurance,"Specialized program covering banking operations, financial services, insurance principles, risk management, and regulatory compliance.",27
Financial Risk Management Certification,"Professional program focusing on credit risk, market risk, operational risk assessment, and financial risk mitigation strategies.",28
Investment Banking Certification,"Specialized training in mergers and acquisitions, capital markets, securities trading, financial modeling, and investment analysis.",29
Bachelor of Banking and Finance,"Undergraduate program combining banking operations, financial markets, monetary policy, and international finance concepts.",30
Bachelor of Technology - Mechanical Engineering,"Comprehensive program covering thermodynamics, fluid mechanics, machine design, manufacturing processes, and materials science with practical applications.",31
