name,description,skill_id
Python Programming,"High-level programming language used for web development, data analysis, artificial intelligence, automation, and scientific computing applications.",1
Java Programming,"Object-oriented programming language widely used for enterprise applications, Android development, and large-scale software systems.",2
JavaScript,"Dynamic programming language essential for web development, enabling interactive web pages and modern frontend frameworks.",3
React.js,"JavaScript library for building user interfaces, particularly single-page applications with component-based architecture and virtual DOM.",4
Node.js,"JavaScript runtime environment for server-side development, enabling full-stack JavaScript applications and real-time web services.",5
SQL,"Structured Query Language for managing relational databases, performing data queries, updates, and database administration tasks.",6
Machine Learning,Subset of artificial intelligence focusing on algorithms that learn from data to make predictions and automated decisions.,7
Deep Learning,Advanced machine learning technique using neural networks with multiple layers to solve complex pattern recognition problems.,8
Cloud Computing,"Technology enabling on-demand access to computing resources, storage, and services over the internet infrastructure.",9
Docker,"Containerization platform that enables packaging applications with dependencies into lightweight, portable containers for deployment.",10
Kubernetes,"Container orchestration platform for automating deployment, scaling, and management of containerized applications in clusters.",11
Git,Distributed version control system for tracking changes in source code and coordinating work among multiple developers.,12
Patient Care,"Comprehensive skill involving direct patient interaction, assessment, treatment, and monitoring to ensure optimal health outcomes and comfort.",13
Medical Diagnosis,"Systematic process of identifying diseases and conditions through patient examination, medical history, and diagnostic tests interpretation.",14
Pharmacology,"Knowledge of drug mechanisms, interactions, side effects, and therapeutic applications for safe and effective medication management.",15
Clinical Research,"Methodology for conducting medical studies, analyzing health data, and evaluating treatment efficacy through scientific research protocols.",16
Medical Equipment Operation,"Technical proficiency in operating, maintaining, and troubleshooting various medical devices and diagnostic equipment.",17
Infection Control,Practices and protocols to prevent and control the spread of infectious diseases in healthcare settings and communities.,18
Medical Documentation,"Accurate recording and maintenance of patient medical records, treatment plans, and healthcare information systems.",19
Emergency Response,"Immediate medical intervention skills for critical situations including CPR, first aid, and trauma management procedures.",20
Laboratory Analysis,"Technical skills for conducting medical tests, analyzing biological samples, and interpreting laboratory results for diagnosis.",21
Healthcare Ethics,"Understanding of moral principles, patient rights, confidentiality, and professional conduct standards in healthcare practice.",22
Financial Analysis,"Ability to evaluate financial statements, assess investment opportunities, and analyze market trends to make informed financial decisions.",23
